name,description,slug,image,ordering
Web Development,"Build responsive websites, web applications, APIs, and full-stack solutions.",web-development,,1
Mobile App Development,"Develop Android, iOS, Flutter, and React Native applications.",mobile-app-development,,2
UI/UX Design,"Design modern user interfaces, user experiences, wireframes, and prototypes.",ui-ux-design,,3
Graphic Design,"Create logos, branding, banners, social media graphics, and marketing materials.",graphic-design,,4
Video Editing,"Professional video editing, motion graphics, reels, shorts, and post-production.",video-editing,,5
Digital Marketing,"SEO, social media marketing, PPC campaigns, email marketing, and growth strategies.",digital-marketing,,6
Writing & Translation,"Content writing, copywriting, technical writing, proofreading, and translation services.",writing-translation,,7
AI & Machine Learning,"Build AI solutions, chatbots, automation, computer vision, and machine learning models.",ai-machine-learning,,8
Data Science & Analytics,"Data analysis, dashboards, visualization, reporting, and predictive analytics.",data-science-analytics,,9
Cloud & DevOps,"Cloud infrastructure, CI/CD pipelines, Docker, Kubernetes, and server management.",cloud-devops,,10
Cybersecurity,"Security audits, penetration testing, vulnerability assessment, and compliance services.",cybersecurity,,11
Database Administration,"Database design, optimization, migration, backup, and maintenance.",database-administration,,12
QA & Testing,"Manual testing, automation testing, performance testing, and bug reporting.",qa-testing,,13
Game Development,"Develop 2D/3D games, multiplayer systems, and game assets.",game-development,,14
E-commerce Development,"Build Shopify, WooCommerce, Magento, and custom online stores.",e-commerce-development,,15
WordPress,"Custom WordPress websites, themes, plugins, and optimization.",wordpress,,16
Blockchain & Web3,"Smart contracts, DApps, NFT platforms, and blockchain integrations.",blockchain-web3,,17
Desktop Applications,"Build Windows, macOS, and cross-platform desktop software.",desktop-applications,,18
Virtual Assistance,"Administrative support, research, scheduling, and business assistance.",virtual-assistance,,19
Business Consulting,"Business strategy, operations, startup guidance, and process improvement.",business-consulting,,20
Accounting & Finance,"Bookkeeping, financial reporting, tax preparation, and payroll services.",accounting-finance,,21
Legal Services,"Contract drafting, legal research, compliance, and document review.",legal-services,,22
Architecture & Interior Design,"Architectural drawings, floor plans, 3D rendering, and interior design.",architecture-interior-design,,23
Engineering & CAD,"Mechanical, electrical, civil engineering, CAD drafting, and product design.",engineering-cad,,24
Photography,"Product photography, event photography, editing, and retouching.",photography,,25
Audio & Music,"Voice-over, podcast editing, music production, mixing, and mastering.",audio-music,,26
Animation & 3D,"3D modeling, animation, VFX, character design, and rendering.",animation-3d,,27
Customer Support,"Live chat, email support, call center, and customer success services.",customer-support,,28
Translation & Localization,"Website, app, and document localization for global audiences.",translation-localization,,29
Other Services,"Miscellaneous professional services that do not fit other categories.",other-services,,30
