id,created_at,updated_at,status,name,description,slug,image,parent,ordering
fa6dedc2-277e-43bf-a20c-c7aae7cf0ccd,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Web Development,"Build responsive websites, web applications, APIs, and full-stack solutions.",web-development,,,1
36302099-e138-46be-8af4-104a9aa8f847,2026-07-05 17:47:28.724855+00,2026-07-05 17:47:28.724855+00,ACTIVE,Frontend Development,Frontend development subcategory,frontend-development,,fa6dedc2-277e-43bf-a20c-c7aae7cf0ccd,1
a76d6496-9851-4dc7-b9b6-a9a4d4091761,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Mobile App Development,"Develop Android, iOS, Flutter, and React Native applications.",mobile-app-development,,,2
442c0c15-81a0-4a2c-a9c8-778c584bb517,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,UI/UX Design,"Design modern user interfaces, user experiences, wireframes, and prototypes.",ui-ux-design,,,3
556f863a-3c1b-4d44-b832-8690e8ed4b01,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Graphic Design,"Create logos, branding, banners, social media graphics, and marketing materials.",graphic-design,,,4
5ab29ce1-602e-46e3-a13e-cad1dde8f563,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Video Editing,"Professional video editing, motion graphics, reels, shorts, and post-production.",video-editing,,,5
faaf9327-957d-43ed-a855-b7698355ed42,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Digital Marketing,"SEO, social media marketing, PPC campaigns, email marketing, and growth strategies.",digital-marketing,,,6
e79fbc02-2e9e-443f-a888-9212347d8106,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Writing & Translation,"Content writing, copywriting, technical writing, proofreading, and translation services.",writing-translation,,,7
f7d9d5fe-e766-4e0f-b547-7191c9cf2bcc,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,AI & Machine Learning,"Build AI solutions, chatbots, automation, computer vision, and machine learning models.",ai-machine-learning,,,8
3a8fc5cc-d389-40ae-9c2c-808451a167a6,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Data Science & Analytics,"Data analysis, dashboards, visualization, reporting, and predictive analytics.",data-science-analytics,,,9
1cc1d14b-b599-4217-9f99-954de6f3dc6e,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Cloud & DevOps,"Cloud infrastructure, CI/CD pipelines, Docker, Kubernetes, and server management.",cloud-devops,,,10
e785add7-1b6e-47c7-9607-c8c9ade876fc,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Cybersecurity,"Security audits, penetration testing, vulnerability assessment, and compliance services.",cybersecurity,,,11
d2808c46-17f0-4658-9036-438cd7fce5df,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Database Administration,"Database design, optimization, migration, backup, and maintenance.",database-administration,,,12
ca0c09d8-a8dd-4c2b-96c9-813b8d401f7a,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,QA & Testing,"Manual testing, automation testing, performance testing, and bug reporting.",qa-testing,,,13
0858c0c0-6d85-4d8b-8f76-19d595682469,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Game Development,"Develop 2D/3D games, multiplayer systems, and game assets.",game-development,,,14
75e56ebb-b140-4b56-90f6-6aa5d51063ba,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,E-commerce Development,"Build Shopify, WooCommerce, Magento, and custom online stores.",e-commerce-development,,,15
6271568a-644b-424d-9bea-c253afbd1f30,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,WordPress,"Custom WordPress websites, themes, plugins, and optimization.",wordpress,,,16
08ce4b23-e70d-420b-90e6-a4ae20fae242,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Blockchain & Web3,"Smart contracts, DApps, NFT platforms, and blockchain integrations.",blockchain-web3,,,17
9373cb7e-67ba-4dee-85a6-33f379171d61,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Desktop Applications,"Build Windows, macOS, and cross-platform desktop software.",desktop-applications,,,18
0d31391b-7e19-4f36-8ea6-e1c9037c2fb4,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Virtual Assistance,"Administrative support, research, scheduling, and business assistance.",virtual-assistance,,,19
011e9bb3-ce57-4a2a-8bbd-e094a4b2e393,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Business Consulting,"Business strategy, operations, startup guidance, and process improvement.",business-consulting,,,20
c9f342c1-d797-4c82-89ba-3eaffd5dae1e,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Accounting & Finance,"Bookkeeping, financial reporting, tax preparation, and payroll services.",accounting-finance,,,21
a5c6f3ab-cd04-4dcb-88cf-947d73509d78,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Legal Services,"Contract drafting, legal research, compliance, and document review.",legal-services,,,22
53114562-37be-4e10-9e32-d247d9caafa9,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Architecture & Interior Design,"Architectural drawings, floor plans, 3D rendering, and interior design.",architecture-interior-design,,,23
c012f64d-4b24-4ebf-aa96-2c7a469d4f52,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Engineering & CAD,"Mechanical, electrical, civil engineering, CAD drafting, and product design.",engineering-cad,,,24
1d2da0fa-12b5-4ffb-b341-2277ae54d8e9,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Photography,"Product photography, event photography, editing, and retouching.",photography,,,25
eee8a3d6-1140-4825-ba31-eeb2db8861a8,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Audio & Music,"Voice-over, podcast editing, music production, mixing, and mastering.",audio-music,,,26
2ffc2388-1be7-49a2-899a-68e14ef1f140,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Animation & 3D,"3D modeling, animation, VFX, character design, and rendering.",animation-3d,,,27
be2bc4b7-c754-41e1-a91c-52821f9ad8de,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Customer Support,"Live chat, email support, call center, and customer success services.",customer-support,,,28
2db7cb3f-517c-4863-b218-db8bbcde4283,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Translation & Localization,"Website, app, and document localization for global audiences.",translation-localization,,,29
1c972ec8-f5b8-466a-bd5f-40b20d04c61d,2026-07-04 19:27:55.822187+00,2026-07-04 19:27:55.822187+00,ACTIVE,Other Services,Miscellaneous professional services that do not fit other categories.,other-services,,,30
